id,model_name,product_family,product_category,Nominal Payload Capacity,Bucket Capacities,Engine Power - Tier 3 Engine - ISO 14396:2002,Rated Power - Peak,Engine Model,Engine Power - Stage V Engine - ISO 14396:2002,Engine Power - ISO 14396:2002,Engine Power - EU Stage V Engine - ISO 14396:2002
1,R1300G,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,14991 lb,,,,Cat® 3306B DITA,,157 hp,
2,R1600H,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,22487 lb,,271 hp,,Cat® C11,,,
3,R1700,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,33069 lb,,,,Cat® C13,345 hp,,
4,R2900G,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,37920 lb,,401 hp,,Cat® C15,,,
5,R3000H,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,44092 lb,,401 hp,,Cat® C15,,,
6,R1700 XE (Battery-Electric),Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,33069 lb,5.7-7.5 m³ (7.5-9.8 yd³),,335 hp,,,,
7,R2900 XE (Diesel-Electric),Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,40785 lb,,,,Cat® C15,449 hp,,
8,AD30,Underground - Hard Rock,Underground Mining Trucks,66139 lb,,401 hp,,Cat® C15,,,
9,AD45,Underground - Hard Rock,Underground Mining Trucks,99208 lb,,,,Cat® C18,,,598 hp
10,AD63,Underground - Hard Rock,Underground Mining Trucks,138891 lb,,,,Cat® C27,,,795 hp
11,R1300G,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,14991 lb,,,,Cat® 3306B DITA,,157 hp,
12,R1600H,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,22487 lb,,271 hp,,Cat® C11,,,
13,R1700,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,33069 lb,,,,Cat® C13,345 hp,,
14,R2900G,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,37920 lb,,401 hp,,Cat® C15,,,
15,R3000H,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,44092 lb,,401 hp,,Cat® C15,,,
16,R1700 XE (Battery-Electric),Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,33069 lb,5.7-7.5 m³ (7.5-9.8 yd³),,335 hp,,,,
17,R2900 XE (Diesel-Electric),Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,40785 lb,,,,Cat® C15,449 hp,,
18,AD30,Underground - Hard Rock,Underground Mining Trucks,66139 lb,,401 hp,,Cat® C15,,,
19,AD45,Underground - Hard Rock,Underground Mining Trucks,99208 lb,,,,Cat® C18,,,598 hp
20,AD63,Underground - Hard Rock,Underground Mining Trucks,138891 lb,,,,Cat® C27,,,795 hp
21,R1300G,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,14991 lb,,,,Cat® 3306B DITA,,157 hp,
22,R1600H,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,22487 lb,,271 hp,,Cat® C11,,,
23,R1700,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,33069 lb,,,,Cat® C13,345 hp,,
24,R2900G,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,37920 lb,,401 hp,,Cat® C15,,,
25,R3000H,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,44092 lb,,401 hp,,Cat® C15,,,
26,R1700 XE (Battery-Electric),Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,33069 lb,5.7-7.5 m³ (7.5-9.8 yd³),,335 hp,,,,
27,R2900 XE (Diesel-Electric),Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,40785 lb,,,,Cat® C15,449 hp,,
28,AD30,Underground - Hard Rock,Underground Mining Trucks,66139 lb,,401 hp,,Cat® C15,,,
29,AD45,Underground - Hard Rock,Underground Mining Trucks,99208 lb,,,,Cat® C18,,,598 hp
30,AD63,Underground - Hard Rock,Underground Mining Trucks,138891 lb,,,,Cat® C27,,,795 hp
31,R1300G,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,14991 lb,,,,Cat® 3306B DITA,,157 hp,
32,R1600H,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,22487 lb,,271 hp,,Cat® C11,,,
33,R1700,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,33069 lb,,,,Cat® C13,345 hp,,
34,R2900G,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,37920 lb,,401 hp,,Cat® C15,,,
35,R3000H,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,44092 lb,,401 hp,,Cat® C15,,,
36,R1700 XE (Battery-Electric),Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,33069 lb,5.7-7.5 m³ (7.5-9.8 yd³),,335 hp,,,,
37,R2900 XE (Diesel-Electric),Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,40785 lb,,,,Cat® C15,449 hp,,
38,AD30,Underground - Hard Rock,Underground Mining Trucks,66139 lb,,401 hp,,Cat® C15,,,
39,AD45,Underground - Hard Rock,Underground Mining Trucks,99208 lb,,,,Cat® C18,,,598 hp
40,AD63,Underground - Hard Rock,Underground Mining Trucks,138891 lb,,,,Cat® C27,,,795 hp
41,R1300G,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,14991 lb,,,,Cat® 3306B DITA,,157 hp,
42,R1600H,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,22487 lb,,271 hp,,Cat® C11,,,
43,R1700,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,33069 lb,,,,Cat® C13,345 hp,,
44,R2900G,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,37920 lb,,401 hp,,Cat® C15,,,
45,R3000H,Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,44092 lb,,401 hp,,Cat® C15,,,
46,R1700 XE (Battery-Electric),Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,33069 lb,5.7-7.5 m³ (7.5-9.8 yd³),,335 hp,,,,
47,R2900 XE (Diesel-Electric),Underground - Hard Rock,Underground Mining Load Haul Dump (LHD) Loaders,40785 lb,,,,Cat® C15,449 hp,,
48,AD30,Underground - Hard Rock,Underground Mining Trucks,66139 lb,,401 hp,,Cat® C15,,,
49,AD45,Underground - Hard Rock,Underground Mining Trucks,99208 lb,,,,Cat® C18,,,598 hp
50,AD63,Underground - Hard Rock,Underground Mining Trucks,138891 lb,,,,Cat® C27,,,795 hp
