id,Equipment Type,Model,Link,GROUND PRESSURE,ARM CROWD FORCE,DUMP HEIGHT,MAXIMUM TRACTION FORCE,BUCKET BREAKOUT FORCE (ISO),NET POWER,FULL TURN TIPPING LOAD,MAX TRAVEL SPEED REVERSE,RATED PAYLOAD,BUCKET BREAKOUT FORCE ISO,HEAPED CAPACITY,ENGINE MODEL,BUCKET BREAKOUT FORCE,Machine Type,BUCKET CAPACITY (HEAPED),TRAVEL SPEED,BUCKET CAPACITY,TAIL SWING RADIUS,MAXIMUM TORQUE,OPERATING CAPACITY,MAX. DIGGING REACH,BOOM BREAKOUT FORCE,"CONFIGURATION: LIFT PATH: (VERTICAL/RADIAL), UNDERCARRAIGE (TIRES, TRACKS)",MAXIMUM GRADE,MAX TRAVEL SPEED FORWARD,SWING SPEED,"CONFIGURATION: COMPACT, CRAWLER, WHEELED, SPECIALITY",DUMP CLEARANCE WITH BUCKET (STANDARD Z-BAR),MAX HINGE PIN HEIGHT,Impact Power Range,TRAVEL SPEED FORWARD,ARM CROWD FORCE (ISO),ARM CROWD FORCE ISO,MAX. DIGGING DEPTH,"CONFIGURATION: ZBAR, TOOL MASTER, EXTENDED BOOM","CONFIGURATIONS: ZBAR, TOOL MASTER, EXTENDED BOOM",BLADE DIGGING DEPTH,MAX TRAVEL SPEED,OPERATING WEIGHT,TRAVEL SPEED REVERSE,Breaker Operating Weight Range,Blow Rate Range
1,Compact Excavators,HX40A,https://na.hd-hyundaice.com/equipment/compact-excavators/hx40a,,,,,"8,053 lb.","37.7 hp @ 2,200 rpm",,,,,,Yanmar 4TNV88C,,,,,0.14 yd³,"4' 3.2""",,,"18' 8""",,,,,9.9 rpm,COMPACT,,,,,"4,206 lb.",,"11' 9.3""",,,,3.0 mph,"9,678 lb.",,,
2,Compact Excavators,HX60A,https://na.hd-hyundaice.com/equipment/compact-excavators/hx60a,,,,,"9,462 lb.","65.9 hp @ 2,400 rpm",,,,,,Hyundai / DM02VB,,,,,0.24 yd³,"5' 5""",,,"20' 2.1""",,,,,9.4 rpm,COMPACT,,,,,"6,363 lb.",,"12' 4.4""",,,,2.6 mph,"13,404 lb.",,,
3,Compact Excavators,HX85A,https://na.hd-hyundaice.com/equipment/compact-excavators/hx85a,,,,,"13,852 lb.","65 hp @ 2,400 rpm",,,,,,Yanmar 4TNV98C-PHYB,,,,,0.33 yd³,"5' 5.9""",,,"24' 4.1""",,,,,9.5 rpm,COMPACT,,,,,"8,338 lb.",,"15' 0.7""",,,,3.2 mph,"19,026 lb.",,,
4,Compact Excavators,HX90A,https://na.hd-hyundaice.com/equipment/compact-excavators/hx90a,,,,,"13,852 lb.","65 hp @ 2,400 rpm",,,,,,Yanmar 4TNV98C-PHYB,,,,,0.33 yd³,"5' 5.9""",,,"24' 4.1""",,,,,9.5 rpm,COMPACT,,,,,"8,338 lb.",,"15' 0.7""",,,,3.2 mph,"20,040 lb.",,,
5,Compact Excavators,HX35AZ,https://na.hd-hyundaice.com/equipment/compact-excavators/hx35az,,,,,"5,919 lb.","24.2 hp @ 2,200 rpm",,,,,,Kubota D1703,,,,,0.14 yd³,"2' 11.4""",,,"18' 10""",,,,,9.4 rpm,COMPACT,,,,,"3,578 lb.",,"11' 3.4""",,,,2.7 mph,"8,664 lb.",,,
6,Compact Excavators,HX48AZ,https://na.hd-hyundaice.com/equipment/compact-excavators/hx48az,,,,,"7,341 lb.","37.7 hp @ 2,200 rpm",,,,,,Yanmar 4TNV88C,,,,,0.2 yd³,"3' 6.5""",,,"20' 0.6""",,,,,10.1 rpm,COMPACT,,,,,"4,998 lb.",,"11' 10.5""",,,,2.7 mph,"11,199 lb.",,,
7,Compact Excavators,R17Z-9A,https://na.hd-hyundaice.com/equipment/compact-excavators/r17z-9a,,,,,"3,483 lb.","16 hp @ 2,300 rpm",,,,,,Kubota D902,,,,,0.05 yd³,"2' 1.4""",,,"13' 2.7""",,,,,9.5 rpm,COMPACT,,,,,"1,720 lb.",,"7' 8.5""",,,,2.6 mph,"3,924 lb.",,,
8,Compact Excavators,R25Z-9AK,https://na.hd-hyundaice.com/equipment/compact-excavators/r25z-9ak,,,,,"4,740 lb.","23.2 hp @ 2,350 rpm",,,,,,Kubota D1305,,,,,0.09 yd³,"2' 6.5""",,,"14' 8.4""",,,,,9.1 rpm,COMPACT,,,,,"3,285 lb.",,"7' 11.3""",,,,2.7 mph,"5,690 Ibs / 5,360 Ibs",,,
9,Compact Excavators,R30Z-9AK,https://na.hd-hyundaice.com/equipment/compact-excavators/r30z-9ak,,,,,"4,519 lb.","23.2 HP @ 2,350 rpm",,,,,,Kubota D1305,,,,,0.1 yd³,"2' 6.5""",,,"15' 3.1""",,,,,9.1 rpm,COMPACT,,,,,"3,086 lb.",,"8' 2.4""",,,,2.7 mph,"6,625 lb.",,,
10,Compact Excavators,R35Z-9A,https://na.hd-hyundaice.com/equipment/compact-excavators/r35z-9a,,,,,"6,900 lb.","23.7 hp @ 2,200 rpm",,,,,,Yanmar 3TNV88F,,,,,0.14 yd³,"2' 10.3""",,,"17' 5.3""",,,,,9.5 rpm,COMPACT,,,,,"4,387 lb.",,"10' 3.4""",,,,2.6 mph,"8,344 lb.",,,
11,Compact Excavators,R55-9A,https://na.hd-hyundaice.com/equipment/compact-excavators/r55-9a,,,,,"9,546 lb.","65.1 hp @ 2,400 rpm",,,,,,Yanmar 4TNV98C,,,,,0.2 yd³,"5' 5""",,,"20' 2.1""",,,,,9.1 rpm,COMPACT,,,,,"7,187 lb.",,"12' 6.4""",,,,2.6 mph,"12,798 lb.",,,
12,Compact Excavators,R60CR-9A,https://na.hd-hyundaice.com/equipment/compact-excavators/r60cr-9a,,,,,"9,193 lb.","63 hp @ 2,200 rpm",,,,,,Yanmar 4TNV98C,,,,,0.24 yd³,"3' 6.5""",,,"20' 2.1""",,,,,8.8 rpm,COMPACT,,,,,"5,952 lb.",,"11' 8.6""",,,,2.5 mph,"13,360 lb.",,,
13,Compact Excavators,R80CR-9A,https://na.hd-hyundaice.com/equipment/compact-excavators/r80cr-9a,,,,,"12,566 lb.","65.1 hp @ 2,400 rpm",,,,,,Yanmar 4TNV98C,,,,,0.37 yd³,"4' 2.4""",,,"22' 10""",,,,,9.1 rpm,COMPACT,,,,,"9,480 lb.",,"13' 7""",,,,2.9 mph,"19,290 lb.",,,
14,Compact Excavators,HX55ACR,https://na.hd-hyundaice.com/equipment/compact-excavators/hx55acr,,,,,"8,353 lb.","45.0 hp @ 2,400 rpm",,,,,,Yanmar 4TNV86CT,,,,,0.2 yd³,"3' 10.3""",,,"20' 10""",,,,,10 rpm,COMPACT,,,,,"5,088 lb.",,"12' 8.4""",,,,2.9 mph,"12,604 lb.",,,
15,Compact Excavators,HX27AZ,https://na.hd-hyundaice.com/equipment/compact-excavators/hx27az,,,,,"4,583 lb.","24.4 HP @ 2,350 rpm",,,,,,Kubota D1305,,,,,0.09 yd³,"2' 10.4""",,,"15' 6""",,,,,9.16 rpm,COMPACT,,,,,"2,895 lb.",,"8' 10.1""",,,,2.7 mph,"5,930 lb.",,,
16,Compact Excavators,HX17AZ,https://na.hd-hyundaice.com/equipment/compact-excavators/hx17az,,,,,"3,668 lb.","16 hp @ 2,300 rpm",,,,,,Kubota D902-E4B,,,,,0.05 yd³,"2' 4.3""",,,"13' 5.4""",,,,,9.16 rpm,COMPACT,,,,,"1,812 lb.",,"8' 0.1""",,,,2.5 mph,"4,365 lb.",,,
17,Crawler Excavators,HX130A LCR,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx130a-lcr,,,,,"22,024 lb.","72 hp @ 2,200 rpm",,,,,,Cummins F3.8,,,,,0.65 yd³,"4' 11.8""",,,"27' 1.6""",,,,,12.4 rpm,CRAWLER,,,,,"11,111 lb.",,"18' 6""",,,,3.2 mph,"30,234 lb.",,,
18,Crawler Excavators,HX140A L,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx140a-l,,,,,"25,044 lb.","131 hp @ 2,200 rpm",,,,,,Cummins F3.8,,,,,0.8 yd³,"7' 8.3""",,,"28' 5.3""",,,,,11.4 rpm,CRAWLER,,,,,"13,272 lb.",,"18' 4.9""",,,,3.4 mph,"31,974 lb.",,,
19,Crawler Excavators,HX145A LCR,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx145a-lcr,,,,,"25,044 lb.","131 hp @ 2,200 rpm",,,,,,Cummins F3.8,,,,,0.8 yd³,"5' 0.2""",,,"28' 3.6""",,,,,11.4 rpm,CRAWLER,,,,,"13,272 lb.",,"18' 9.4""",,,,3.5 mph,"33,852 lb.",,,
20,Crawler Excavators,HX180A L,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx180a-l,,,,,"28,378 lb.","152 hp @ 2,200 rpm",,,,,,Cummins B4.5,,,,,0.95 yd³,"8' 2""",,,"28' 6.1""",,,,,10.3 rpm,CRAWLER,,,,,"18,159 lb.",,"18' 5.7""",,,,3.4 mph,"40,966 lb.",,,
21,Crawler Excavators,HX210A L,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx210a-l,,,,,"34,172 lb.",170 hp @ 2.200 rpm,,,,,,Cummins B4.5,,,,,1.31 yd³,"9' 4.2""",,,"32' 8.1""",,,,,12 rpm,CRAWLER,,,,,"24,030 lb.",,"21' 9.4""",,,,3.6 mph,"52,254 lb.",,,
22,Crawler Excavators,HX220A L,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx220a-l,,,,,"34,238 lb.",170 hp @ 2.200 rpm,,,,,,Cummins B6.7,,,,,1.31 yd³,"9' 5.8""",,,"32' 7.5""",,,,,11.4 rpm,CRAWLER,,,,,"24,030 lb.",,"21' 3.9""",,,,3.4 mph,"51,513 lb.",,,
23,Crawler Excavators,HX220A LR,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx220a-lr,,,,,"18,056 lb.","170 hp @ 2,200 rpm",,,,,,Cummins QSB6.7,,,,,0.67 yd³,"9' 5.8""",,,"50' 7.3""",,,,,11.4 rpm,CRAWLER,,,,,"25,022 lb.",,"37' 8.8""",,,,3.4 mph,"54,624 lb.",,,
24,Crawler Excavators,HX235A LCR,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx235a-lcr,,,,,"34,238 lb.",170 hp @ 2.200 rpm,,,,,,Cummins B6.7,,,,,1.31 yd³,"5' 10.1""",,,"32' 5""",,,,,12.69 rpm,CRAWLER,,,,,"24,030 lb.",,"20' 11.2""",,,,3.4 mph,"53,660 lb.",,,
25,Crawler Excavators,HX260A L,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx260a-l,,,,,"40,124 lb.","227 hp @ 2,000 rpm",,,,,,Cummins B6.7,,,,,1.53 yd³,"10' 1.5""",,,"33' 11.9""",,,,,11.2 rpm,CRAWLER,,,,,"26,676 lb.",,"22' 12""",,,,3.5 mph,"62,159 lb.",,,
26,Crawler Excavators,HX300A L,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx300a-l,,,,,"42,681 lb.","255 hp @ 2,200 rpm",,,,,,Cummins B6.7,,,,,1.82 yd³,"10' 6.4""",,,"35' 5.8""",,,,,11.2 rpm,CRAWLER,,,,,"29,299 lb.",,"23' 8.4""",,,,3.8 mph,"69,278 lb.",,,
27,Crawler Excavators,HX300A LR,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx300a-lr,,,,,"18,519 lb.","255 hp @ 2,200 rpm",,,,,,Cummins B6.7,,,,,0.68 yd³,"10' 6.4""",,,"60' 9.5""",,,,,11.2 rpm,CRAWLER,,,,,"10,803 lb.",,"48' 4.3""",,,,3.8 mph,"76,478 lb.",,,
28,Crawler Excavators,HX480A L,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx480a-l,,,,,"55,556 lb.","395 hp @ 2,100 rpm",,,,,,Cummins X12,,,,,3.41 yd³,"12' 5.6""",,,"41' 4.5""",,,,,8.8 rpm,CRAWLER,,,,,"40,345 lb.",,"27' 4.7""",,,,3.3 mph,"114,041 lb.",,,
29,Crawler Excavators,HX350A L,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx350a-l,,,,,"48,722 lb.","304 hp @  2,200 rpm",,,,,,Cummins L9,,,,,2.34 yd³,"11' 8.6""",,,"36' 7""",,,,,10.2 rpm,CRAWLER,,,,,"32,628 lb.",,"24' 1.8""",,,,4.0 mph,"78,407 lb.",,,
30,Crawler Excavators,HX355A LCR,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx355a-lcr,,,,,"44,754 lb.","170 hp @ 1,900 rpm",,,,,,HYUNDAI / DL08,,,,,2.17 yd³,"6' 2.8""",,,"35' 6""",,,,,9.61 rpm,CRAWLER,,,,,"33,290 lb.",,"22' 10.4""",,,,3.2 mph,"79,807 lb.",,,
31,Crawler Excavators,HX380A L,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx380a-l,,,,,"51,368 lb.","359 hp @ 2,100 rpm",,,,,,Cummins L9,,,,,2.34 yd³,"11' 10.5""",,,"38' 9.4""",,,,,10.4 rpm,CRAWLER,,,,,"31,747 lb.",,"26' 11.6""",,,,3.5 mph,"91,461 lb.",,,
32,Crawler Excavators,HX520A L,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx520a-l,,,,,"62,832 lb.","395 hp @ 2,100 rpm",,,,,,Cummins X12,,,,,3.41 yd³,"12' 5.6""",,,"39' 6.8""",,,,,8.8 rpm,CRAWLER,,,,,"46,077 lb.",,"25' 1.2""",,,,3.3 mph,"118,721 lb.",,,
33,Crawler Excavators,HX160A L,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx160a-l,,,,,"28,378 lb.","152 hp @ 2,200 rpm",,,,,,Cummins B4.5,,,,,0.95 yd³,"8' 2""",,,"28' 6.1""",,,,,10.3 rpm,CRAWLER,,,,,"20,590 lb.",,"18' 5.7""",,,,3.4 mph,"40,422 lb.",,,
34,Crawler Excavators,HX800A L,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx800a-l,,,,,"7,937 lb.","528 hp @ 2,100 rpm",,,,,,Perkins 2506J,,,,,5.1 yd³,"13' 5.4""",,,"43' 3.3""",,,,,7.4 rpm,CRAWLER,,,,,"64,154 lb.",,"27' 4.5""",,,,3.0 mph,"180,999 lb.",,,
35,Crawler Excavators,HX1000A L,https://na.hd-hyundaice.com/equipment/crawler-excavators/hx1000a-l,,,,,"88,185 lb.","Gross: 629 hp @ 2,000 rpm",,,,,,Perkins 2806J,,,,,7.06 yd³,"15' 1.9""",,,"46' 10""",,,,,6.1 rpm,CRAWLER,,,,,"79,851 lb.",,"28' 10.3""",,,,2.8 mph,"221,344 lb.",,,
36,Wheeled Excavators,HW140A,https://na.hd-hyundaice.com/equipment/wheeled-excavators/hw140a,,,,,,"170 HP @ 2,200 rpm",,,,"23,135 lb.",,Cummins B4.5,,,,,0.8 yd³,"7' 1.4""",,,"27' 3.2""",,,,,9.5 rpm,WHEELED,,,,,,"14,912 lb.","16' 9.2""",,,,24.9 mph,"34,762 lb.",,,
37,Wheeled Excavators,HW160A,https://na.hd-hyundaice.com/equipment/wheeled-excavators/hw160a,,,,,,"170 HP @ 2,200 rpm",,,,"25,895 lb.",,Cummins B4.5,,,,,1.11 yd³,"7' 4.6""",,,"29' 1""",,,,,9.5 rpm,WHEELED,,,,,,"17,057 lb.","18' 10.8""",,,,21.7 mph,"40,060 lb.",,,
